Recipe Name,Thumbnail Link,Cook Time,Recipe Source
Knishes - Potato Filling,https://img.spoonacular.com/recipes/648983-556x370.jpg,45 minutes,https://www.foodista.com/recipe/TF2CGZY3/knishes-potato-filling
Spinach & Toasted Pumpkin Seed Pesto Pasta,https://img.spoonacular.com/recipes/661250-556x370.jpg,45 minutes,https://www.foodista.com/recipe/BKN5BHZG/spinach-toasted-pumpkin-seed-pesto-pasta
Bangers and Mash,https://img.spoonacular.com/recipes/44789-556x370.jpg,45 minutes,https://www.foodista.com/recipe/78FLMC4R/bangers-and-mash
